>0.5	>0.25	>0.075	>0.005	<0.005	w	e	a0.1-0.2
0	0	0	86	14	19.9	0.689	0.31
0	0	0	85	15	21.3	0.691	0.35
0	0	0	83	17	20.1	0.683	0.25
0	0	0	87	13	19.4	0.673	0.17
0	0	0	84	16	20.1	0.683	0.2
0	0	0	81	19	23.3	0.701	0.22
0	0	0	84	16	20.1	0.683	0.2
0	0	0	83	17	19	0.676	0.18
0	0	0	84	16	20.5	0.68	0.36
0	0	0	82	18	20.7	0.648	0.22
0	0	0	84	16	21	0.704	0.21
0	0	0	83	17	22	0.674	0.21
0	0	2	85	13	21.7	0.705	0.23
0	0	0	86	14	19.9	0.68	0.21
0	0	0	84	16	19.5	0.666	0.19
0	0	0	85	15	20.6	0.681	0.2
0	0	0	82	18	21	0.695	0.2
0	0	0	83	17	20.5	0.688	0.2
0	0	0	81	19	18.4	0.65	0.18
0	0	0	85	15	22.4	0.688	0.17
0	0	0	86	14	17.6	0.656	0.17
0	0	0	81	19	18.9	0.683	0.17
0	0	0	83	17	18.7	0.654	0.2
0	0	0	85	15	19.6	0.702	0.22
0	0	0	86	14	18.5	0.678	0.17
0	0	6	81	13	19.9	0.718	0.18
0	0	0	85	15	18.6	0.688	0.22
0	0	0	83	17	18.9	0.701	0.22
0	0	0	83	17	18.6	0.67	0.17
0	0	0	82	18	18	0.679	0.2
0	0	0	82	18	22.7	0.701	0.28
0	0	0	86	14	18.7	0.726	0.19
0	0	0	84	16	20.5	0.733	0.18
0	0	0	83	17	18.2	0.631	0.19
0	0	0	86	14	19.5	0.683	0.16
0	0	0	85	15	19.8	0.705	0.27
0	0	0	82	18	19.2	0.688	0.18
0	0	0	82	18	18.2	0.673	0.19
0	0	2	85	13	17.3	0.67	0.16
0	0	0	82	18	16.8	0.689	0.17
0	0	0	81	19	17.9	0.669	0.19
0	4	13	71	12	11.2	0.723	0.17
0	0	0	84	16	18	0.697	0.18
0	0	0	81	19	16.7	0.697	0.18
0	0	4	83	13	20.6	0.683	0.15
0	0	0	85	15	18.5	0.678	0.22
0	0	4	84	12	19.2	0.679	0.16
0	0	0	84	16	16.7	0.725	0.21
0	0	0	83	17	18.7	0.689	0.18
0	0	0	81	19	21.1	0.706	0.17
0	0	0	83	17	20.4	0.714	0.15
0	0	0	84	16	19.5	0.692	0.16
0	0	0	83	17	19.8	0.687	0.18
0	0	0	84	16	20.8	0.692	0.2
0	0	0	83	17	16.9	0.673	0.18
0	0	0	83	17	21.8	0.734	0.17
0	0	0	81	19	21.5	0.702	0.17
0	0	0	85	15	16.2	0.727	0.18
0	0	0	84	16	22.7	0.719	0.25
0	0	0	83	17	21.5	0.693	0.22
0	6	20	64	10	15.2	0.699	0.19
0	0	0	85	15	16.9	0.728	0.16
0	0	0	86	14	22	0.7	0.2
0	0	0	84	16	20.9	0.694	0.15
0	0	0	86	14	21.1	0.671	0.15
0	0	0	85	15	21	0.686	0.19
0	0	0	82	18	21	0.695	0.2
0	0	0	83	17	20.5	0.688	0.2
0	0	0	86	14	21.4	0.701	0.13
0	0	0	85	15	25.9	0.822	0.29
0	0	0	81	19	21.8	0.706	0.19
0	0	6	81	13	22.7	0.713	0.17
0	0	0	86	14	15.5	0.661	0.19
0	0	3	84	13	14.3	0.699	0.21
0	0	0	86	14	17	0.683	0.18
0	0	0	84	16	17.8	0.677	0.19
0	2	6	80	12	15.8	0.675	0.21
0	0	0	85	15	16.8	0.746	0.21
0	0	0	83	17	16.7	0.67	0.19
0	0	0	85	15	16.3	0.638	0.17
0	0	0	85	15	14.6	0.657	0.2
0	0	0	83	17	16.8	0.68	0.2
0	0	0	82	18	19.4	0.673	0.22
0	0	0	83	17	16.2	0.681	0.22
0	0	0	82	18	14.7	0.724	0.2
0	0	0	81	19	16.9	0.621	0.18
0	0	0	85	15	17.6	0.656	0.17
0	0	0	83	17	14.3	0.686	0.17
0	0	0	82	18	14.3	0.689	0.19
0	0	0	82	18	17.2	0.688	0.17
0	0	3	85	12	19.9	0.637	0.18
0	0	0	81	19	17.6	0.674	0.19
0	0	0	84	16	17.5	0.681	0.18
0	0	0	83	17	14.7	0.705	0.25
0	4	14	71	11	14.3	0.683	0.17
0	0	0	83	17	15.4	0.696	0.17
0	0	0	84	16	14.7	0.743	0.21
0	0	7.4	18.7	13.1	19.4	0.596	0.13
0	0	3.5	19.6	15	18.6	0.601	0.13
0	0	2.8	18.5	14.5	18.6	0.525	0.17
0	0	9.5	18.4	11.8	11.4	0.602	0.12
0	0	11.2	18.1	12.4	8.5	0.52	0.1
0	0	2.4	21.6	15.5	20.3	0.547	0.17
0	0	3.2	19.8	14.7	19.8	0.555	0.22
0	0	12.5	18.4	12	13.7	0.61	0.1
0	0	0	82	18	21.3	0.783	0.25
0	0	0	84	16	20.6	0.707	0.2
0	0	0	85	15	21.5	0.693	0.17
0	0	0	83	17	21.1	0.697	0.15
0	0	4	83	13	20.7	0.7	0.14
0	0	0	85	15	20.1	0.7	0.18
0	0	0	84	16	22.4	0.715	0.17
0	0	0	84	16	21.1	0.706	0.19
0	0	0	86	14	20.1	0.805	0.28
0	0	0	83	17	21.5	0.693	0.2
0	0	0	86	14	20.8	0.719	0.21
0	0	0	84	16	21.1	0.715	0.19
0	0	0	86	14	21.5	0.802	0.27
0	0	0	83	17	22.1	0.877	0.18
0	0	0	83	17	20.1	0.691	0.17
0	0	0	86	14	21.1	0.697	0.19
0	0	0	83	17	19.8	0.696	0.15
0	0	0	86	14	20.1	0.683	0.18
0	0	0	83	17	21.2	0.941	0.21
0	0	0	85	15	19.9	0.689	0.18
0	0	0	83	17	20.7	0.682	0.18
0	0	0	85	15	20.4	0.678	0.16
0	0	0	86	14	19.5	0.692	0.17
0	0	3.3	83.9	12.8	21.9	0.688	0.22
0	0	1.5	81.9	16.6	18.9	0.663	0.2
0	0	2.8	84.8	12.4	20.3	0.643	0.19
0	0	3	82.6	14.4	18.5	0.678	0.18
0	0	3.8	82.8	13.4	18	0.716	0.18
0	0	1.8	82.6	15.6	23.4	0.726	0.19
0	0	2.8	82.5	14.7	20.8	0.699	0.22
0	0	5.6	82	12.4	18.1	0.681	0.18
0	0	3.6	82.6	13.8	18.8	0.671	0.17
0	0	1.6	84.3	14.1	19.9	0.743	0.18
0	0	5.6	81.9	12.5	21.4	0.675	0.2
0	0	3	82.6	14.4	22.7	0.762	0.23
0	0	2.8	82.5	14.7	22	0.681	0.18
0	0	1.4	81.8	16.8	21.7	0.685	0.2
0	0	3.7	82.1	14.2	20.8	0.708	0.19
0	0	5.6	80.7	13.7	18.8	0.596	0.18
0	0	3.8	81.7	14.5	18.7	0.644	0.22
0	0	4.1	81.2	14.7	19.2	0.617	0.19
0	0	2.1	81.1	16.8	21.2	0.678	0.21
0	0	3.6	82.3	14.1	18.9	0.638	0.18
0	0	4.8	81.1	14.1	20.8	0.673	0.22
0	0	3.6	81.6	14.8	21.2	0.653	0.25
0	0	2.7	82.4	14.9	20.1	0.689	0.21
